Vulnerable Commit,Commit Hash,Vulnerable Code Unit,Code Unit Lines,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Yes,1d20b32eabad4a29ff648e630cb1c139702975d7,No,"[1392, 1396]",Struct,nsConstructorFuncMapData,dom/base/nsDOMClassInfo.cpp,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,1d20b32eabad4a29ff648e630cb1c139702975d7,No,"[1372, 1376]",Struct,nsContractIDMapData,dom/base/nsDOMClassInfo.cpp,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,1d20b32eabad4a29ff648e630cb1c139702975d7,No,"[5429, 5531]",Class,nsDOMConstructor,dom/base/nsDOMClassInfo.cpp,3,22,1,44,228,11,4,4,5,3,27,3,22,1,1,8,0,4,0,6,3,3,0,0,10,10,0,0,4,1,5,283,44,225,74,132,11,1,2,122,33,0,89,23,23,28,20,1,2,80,0,38,38,53,28
Yes,1d20b32eabad4a29ff648e630cb1c139702975d7,No,"[9456, 9492]",Class,nsPluginProtoChainInstallRunner,dom/base/nsDOMClassInfo.cpp,1,12,0,5,32,0,1,1,1,1,14,1,12,0,1,2,0,0,0,2,2,2,0,0,2,2,0,0,0,0,2,37,5,32,14,14,0,0,0,16,7,0,9,2,2,2,1,1,1,0,0,3,3,3,2
No,26fefbada419ff667357f60744f4b9dd6a1844ff,No,"[1392, 1396]",Struct,nsConstructorFuncMapData,dom/base/nsDOMClassInfo.cpp,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,26fefbada419ff667357f60744f4b9dd6a1844ff,No,"[1372, 1376]",Struct,nsContractIDMapData,dom/base/nsDOMClassInfo.cpp,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,26fefbada419ff667357f60744f4b9dd6a1844ff,No,"[5429, 5531]",Class,nsDOMConstructor,dom/base/nsDOMClassInfo.cpp,3,22,1,44,228,11,4,4,5,3,27,3,22,1,1,8,0,4,0,6,3,3,0,0,10,10,0,0,4,1,5,283,44,225,74,132,11,1,2,122,33,0,89,23,23,28,20,1,2,80,0,38,38,53,28
No,26fefbada419ff667357f60744f4b9dd6a1844ff,No,"[9459, 9495]",Class,nsPluginProtoChainInstallRunner,dom/base/nsDOMClassInfo.cpp,1,12,0,5,32,0,1,1,1,1,14,1,12,0,1,2,0,0,0,2,2,2,0,0,2,2,0,0,0,0,2,37,5,32,14,14,0,0,0,16,7,0,9,2,2,2,1,1,1,0,0,3,3,3,2
Yes,616387439004e99860e2e7c7e99cd626eea105ca,No,"[162, 225]",Class,ClassInfoData,caps/nsScriptSecurityManager.cpp,0,9,0,9,55,1,2,2,2,1,9,0,9,0,0,2,0,0,0,5,5,5,0,0,5,5,0,0,0,0,5,64,9,55,17,20,1,0,0,28,11,0,17,4,4,4,1,0,3,52,0,12,12,12,5
Yes,616387439004e99860e2e7c7e99cd626eea105ca,No,"[1346, 1348]",Struct,IsWhitespace,caps/nsScriptSecurityManager.cpp,0,1,0,0,3,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,3,2,1,0,0,0,2,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1
